Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1697 b,0,0,0.005,0.11,0.00668,526,442,3.121,33.4969,4.111,11.2,247.77,4682,4.54,TRUE,nexsci
CoRoT-10 b,0,0.013,0.007,0.97,2.75,796,670,3.86,13.2406,2.98,11.8,338.39,5075,4.65,TRUE,nexsci
CoRoT-14 b,0.057,0.024,0.001,1.09,7.6,2317,1948,4.2,1.5121,1.662,13.8,1744.6,6035,4.35,TRUE,nexsci
CoRoT-18 b,0.082,0.062,0.01,1.31,3.47,1816,1527,3.7,1.9001,2.387,13,764.89,5440,4.4,TRUE,nexsci
CoRoT-20 b,0.001,0.009,0.002,0.84,4.3,1135,955,4.179,9.2429,2.2248,12.5,844.06,5880,4.35,TRUE,nexsci
CoRoT-24 b,0,0.002,0.029,0.33,0.018,1112,935,2.612,5.1134,2.85,12.9,591.55,4950,4.55,TRUE,nexsci
CoRoT-27 b,0.019,0.024,0.001,1.01,10.39,1612,1355,4.405,3.5753,2.77,13,1010.28,5900,4.4,TRUE,nexsci
CoRoT-2 b,0.417,0.314,0.058,1.47,3.47,1840,1547,3.602,1.743,2.267,10.3,213.28,5625,4.53,TRUE,nexsci
CoRoT-5 b,,,,1.39,0.467,1716,1443,2.779,4.0379,,12.5,882.47,6100,4.19,TRUE,nexsci
CoRoT-9 b,0,0.002,0.023,1.07,0.84,498,419,3.263,95.2727,8.268,11.7,412.98,5625,4.54,TRUE,nexsci
K2-165 d,,,,0.24,0.0236,,,3.021,14.1014,,9.5,134.59,5185,4.46,TRUE,nexsci
K2-169 b,,,,0.11,0.00681,,,3.114,6.3808,3.096,10.4,235.87,5548,4.56,TRUE,nexsci
K2-171 b,,,,0.24,0.0242,,,3.018,5.6285,8.208,10.5,606.13,5250,3.95,TRUE,nexsci
K2-173 b,,,,0.14,0.0101,,,3.088,5.8687,2.825,10.3,228.64,5580,4.52,TRUE,nexsci
K2-177 b,,,,0.19,0.0161,,,3.048,14.1552,,10.6,492.17,6063,4.38,TRUE,nexsci
K2-190 b,,,,0.12,0.00758,,,3.108,10.0989,4.224,9.4,160.68,5631,4.38,TRUE,nexsci
K2-198 b,,,,0.37,0.0514,,716,2.959,17.0429,2.9592,9.2,110.57,5213,4.6,TRUE,nexsci
K2-201 c,,,,0.29,0.034,,,2.992,22.7799,3.648,10.2,197.93,5507,4.68,TRUE,nexsci
K2-204 b,,,,0.27,0.0299,,,3.001,7.0558,4.464,11.5,577.24,5755,4.23,TRUE,nexsci
K2-207 b,,,,0.23,0.023,,,3.025,12.4875,4.296,11.4,363.06,5522,4.41,TRUE,nexsci
K2-210 b,,,,0.07,0.00149,,,2.841,0.5702,,9.9,176.51,5396,4.55,TRUE,nexsci
K2-218 b,,,,0.23,0.0224,,,3.025,8.6799,3.84,11.2,394.08,5757,4.45,TRUE,nexsci
K2-219 d,,,,0.23,0.0225,,,3.023,11.1373,4.896,10.4,325.4,5753,4.23,TRUE,nexsci
Kepler-117 c,0,0.004,0.004,1.1,1.84,845,711,3.575,50.7904,10.8474,13,1455.57,6150,4.1,TRUE,nexsci
Kepler-426 b,0.021,0.029,0.051,1.09,0.34,1548,1301,2.851,3.2175,2.1148,13.2,843.7,5725,4.47,TRUE,nexsci
Kepler-434 b,0.002,0.008,0.003,1.13,2.86,1191,1001,3.744,12.8747,2.2491,13,1222.54,5977,4.24,TRUE,nexsci
Kepler-87 c,0,0,0.03,0.55,0.02,527,443,2.218,191.2318,16.942,13,1232.9,5600,3.96,TRUE,nexsci
CoRoT-29 b,0.013,0.022,0.012,0.9,0.85,1456,1225,3.415,2.8506,2.19,13,806.51,5260,4.3,TRUE,nexsci
CoRoT-3 b,0.049,0.032,0.001,1.01,21.66,2007,1688,4.721,4.2568,3.384,11.6,768.77,6740,4.22,TRUE,nexsci
CoRoT-4 b,,,,1.19,0.72,1280,1076,3.1,9.202,,12.3,726.41,6190,4.41,TRUE,nexsci
CoRoT-6 b,0.007,0.032,0.01,1.17,2.96,1206,1014,3.732,8.8866,4.08,12.1,645.29,6090,4.43,TRUE,nexsci
CoRoT-1 b,,,,1.49,1.03,2167,1822,3.061,1.509,,12.1,787.91,5950,4.25,TRUE,nexsci
CoRoT-23 b,0.043,0.028,0.005,1.05,2.8,1959,1648,3.799,3.6313,3.888,12.4,1060.97,5900,4.3,TRUE,nexsci
CoRoT-8 b,0.001,0.012,0.027,0.57,0.22,1018,856,3.225,6.2123,2.74,11.5,322.04,5080,4.58,TRUE,nexsci
CoRoT-24 c,0,0.002,0.014,0.44,0.088,841,707,3.052,11.759,4.8,12.9,591.55,4950,4.55,TRUE,nexsci
CoRoT-25 b,0.013,0.019,0.043,1.08,0.27,1572,1322,2.759,4.8607,1.92,12.8,1103.48,6040,4.31,TRUE,nexsci
CoRoT-11 b,0.164,0.095,0.027,1.43,2.33,2070,1741,3.451,2.9943,2.5009,11.2,655.04,6440,4.22,TRUE,nexsci
CoRoT-12 b,0.043,0.041,0.031,1.44,0.917,1719,1445,3.04,2.828,2.5742,13.6,1126.37,5675,4.38,TRUE,nexsci
CoRoT-13 b,0.01,0.017,0.007,0.89,1.308,1517,1276,3.617,4.0352,3.14,13.4,1148.93,5945,4.46,TRUE,nexsci
CoRoT-26 b,0.035,0.025,0.026,1.26,0.52,1870,1572,2.909,4.2047,5.47,13.3,1045.18,5590,3.99,TRUE,nexsci
CoRoT-16 b,0.011,0.021,0.028,1.17,0.535,1422,1196,2.986,5.3523,2.39,12.8,732.41,5650,4.36,TRUE,nexsci
BD+20 594 b,,,,0.23,0.07,700,589,3.516,41.6855,,9.4,179.46,5766,4.5,TRUE,nexsci
OGLE-TR-211 b,0.052,0.03,0.018,1.36,1.03,2057,1730,3.14,3.6772,4.4112,13.4,1515.26,6325,4.17,TRUE,nexsci
